"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"KEYS","Keysight Technologies Inc.","26.21","4490056775.67","n/a","2014","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/keys",
"KRC","Kilroy Realty Corporation","62.24","5740850423.36","n/a","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/krc",
"KRC^G","Kilroy Realty Corporation","25.82","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krc^g",
"KRC^H","Kilroy Realty Corporation","25.96","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/krc^h",
"KMB","Kimberly-Clark Corporation","126.42","45527358877.98","n/a","n/a","Consumer Durables","Containers/Packaging","http://www.nasdaq.com/symbol/kmb",
"KIM","Kimco Realty Corporation","27.93","11720795732.1","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/kim",
"KIM^I","Kimco Realty Corporation","26.13","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^i",
"KIM^J","Kimco Realty Corporation","25.78","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^j",
"KIM^K","Kimco Realty Corporation","26.13","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kim^k",
"KMI","Kinder Morgan, Inc.","17.67","39431594095.92","n/a","2011","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/kmi",
"KMI.WS","Kinder Morgan, Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kmi.ws",
"KMI^A","Kinder Morgan, Inc.","46.2718","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kmi^a",
"KND","Kindred Healthcare, Inc.","11.89","1012537014.34","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/knd",
"KFS","Kingsway Financial Services, Inc.","4.64","101255801.44","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kfs",
